epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,861.712,1.70403,1.25266,1.80813,0.89808,0.75801,0.87772,0.41076,1.76896,1.25557,1.92805,0.000439479,0.000439479,0.000439479
71,873.102,1.74537,1.27872,1.85828,0.9436,0.76344,0.88626,0.41359,1.77585,1.17986,1.91069,0.000413803,0.000413803,0.000413803
72,885.601,1.7261,1.33178,1.83779,0.78133,0.80686,0.86311,0.43974,1.7049,1.15874,1.86189,0.000388706,0.000388706,0.000388706
73,898.851,1.71118,1.32738,1.87173,0.87808,0.77439,0.87549,0.38238,1.8469,1.22586,1.95652,0.000364213,0.000364213,0.000364213
74,909.79,1.68737,1.26877,1.84254,0.94708,0.73118,0.88249,0.44256,1.73053,1.14239,1.86781,0.000340349,0.000340349,0.000340349
75,920.941,1.67609,1.24034,1.81014,0.82161,0.84946,0.87698,0.41244,1.79181,1.15748,1.88367,0.000317137,0.000317137,0.000317137
76,933.274,1.64751,1.23379,1.77734,0.85876,0.78451,0.8808,0.42564,1.71643,1.15011,1.82704,0.0002946,0.0002946,0.0002946
77,946.336,1.65718,1.25406,1.77462,0.89823,0.75269,0.87899,0.43553,1.73499,1.11667,1.83954,0.00027276,0.00027276,0.00027276
78,958.97,1.6924,1.22405,1.84732,0.94354,0.71878,0.87727,0.40241,1.83342,1.11385,1.90578,0.000251639,0.000251639,0.000251639
79,970.279,1.65341,1.22492,1.80985,0.94439,0.73037,0.87769,0.42869,1.75294,1.08172,1.87007,0.000231257,0.000231257,0.000231257
80,981.438,1.68547,1.20248,1.8123,0.9595,0.76427,0.87794,0.42522,1.73789,1.09718,1.83664,0.000211635,0.000211635,0.000211635
81,993.659,1.66603,1.24619,1.81871,0.98325,0.7957,0.88623,0.40192,1.79542,1.13452,1.87334,0.000192792,0.000192792,0.000192792
82,1007.36,1.73064,1.2563,1.83519,0.90466,0.81629,0.89318,0.43815,1.73868,1.08634,1.85062,0.000174747,0.000174747,0.000174747
83,1019.91,1.67729,1.23493,1.81532,0.94719,0.77147,0.8941,0.42499,1.74963,1.0653,1.85501,0.000157516,0.000157516,0.000157516
84,1032.48,1.67068,1.19558,1.76928,0.95101,0.83504,0.89403,0.41059,1.7992,1.08887,1.88783,0.000141119,0.000141119,0.000141119
85,1042.11,1.62525,1.21023,1.79483,0.9054,0.82331,0.88201,0.40027,1.80563,1.10419,1.8968,0.00012557,0.00012557,0.00012557
86,1055.59,1.64194,1.17492,1.76783,0.90489,0.8172,0.87679,0.41661,1.76484,1.11506,1.89121,0.000110884,0.000110884,0.000110884
87,1066.37,1.63038,1.2312,1.80219,0.92677,0.81644,0.88061,0.42814,1.75483,1.0982,1.89473,9.70778e-05,9.70778e-05,9.70778e-05
88,1079.36,1.62495,1.16267,1.77665,0.94647,0.76051,0.8789,0.43205,1.75228,1.08775,1.88025,8.41631e-05,8.41631e-05,8.41631e-05
89,1090.87,1.66147,1.25332,1.82701,0.89698,0.77419,0.87852,0.42246,1.75549,1.08125,1.86897,7.21533e-05,7.21533e-05,7.21533e-05
90,1102.55,1.65605,1.19097,1.80661,0.94404,0.78495,0.87945,0.41589,1.77826,1.09281,1.89062,6.10601e-05,6.10601e-05,6.10601e-05
91,1119.25,1.52588,1.2042,1.77873,0.92552,0.80172,0.88549,0.41819,1.77427,1.11689,1.8782,5.08945e-05,5.08945e-05,5.08945e-05
92,1128.97,1.46029,1.12096,1.73251,0.93681,0.7957,0.89231,0.4295,1.75173,1.12027,1.8647,4.16666e-05,4.16666e-05,4.16666e-05
93,1141.54,1.51795,1.1253,1.73144,0.93759,0.80767,0.89317,0.43739,1.73,1.10225,1.84387,3.33854e-05,3.33854e-05,3.33854e-05
94,1152.87,1.50367,1.05773,1.75239,0.94141,0.7957,0.89822,0.44277,1.70903,1.09819,1.83143,2.60592e-05,2.60592e-05,2.60592e-05
95,1162.36,1.48496,1.04145,1.72931,0.93456,0.7957,0.89691,0.44353,1.70364,1.09384,1.82653,1.9695e-05,1.9695e-05,1.9695e-05
96,1173.88,1.46661,1.02871,1.70827,0.94839,0.7904,0.89644,0.44212,1.70442,1.0958,1.82608,1.42993e-05,1.42993e-05,1.42993e-05
97,1187.13,1.41615,1.02126,1.69618,0.94818,0.78695,0.89565,0.4406,1.70345,1.09314,1.82523,9.87741e-06,9.87741e-06,9.87741e-06
98,1198.66,1.44585,1.01625,1.6929,0.94788,0.78226,0.8985,0.44163,1.69967,1.09334,1.82479,6.4336e-06,6.4336e-06,6.4336e-06
99,1208.96,1.51797,1.04477,1.71408,0.93413,0.78495,0.89246,0.44026,1.70143,1.09357,1.8264,3.9713e-06,3.9713e-06,3.9713e-06
100,1219.52,1.50132,1.03584,1.73721,0.95057,0.77419,0.89317,0.44116,1.70103,1.08997,1.82785,2.49295e-06,2.49295e-06,2.49295e-06
